test_week,horizon,horizon_date,entity_id,liquidity_group,model,strategy,actual,forecast_p90,error,abs_error,wape,directionality,target_wape,meets_target
2025-07-07,1,2025-07-07,057,TRP,xgboost,direct,-24644.550000000003,-25119.547,-474.9968749999971,474.9968749999971,0.019273911473327653,1,0.05,True
2025-07-07,2,2025-07-14,057,TRP,xgboost,direct,-97815.62,-138864.28,-41048.661250000005,41048.661250000005,0.4196534382749913,1,0.075,False
2025-07-07,4,2025-07-28,057,TRP,xgboost,direct,-128139.77,-48068.816,80070.95359375,80070.95359375,0.6248719940245717,1,0.125,False
2025-07-07,5,2025-08-04,057,TRP,xgboost,direct,-53665.81,-41105.043,12560.767031249998,12560.767031249998,0.23405529575068368,1,0.15,False
2025-07-07,6,2025-08-11,057,TRP,xgboost,direct,-471.96,822.8845,1294.844521484375,1294.844521484375,2.7435471681591133,0,0.175,False
2025-07-07,7,2025-08-18,057,TRP,xgboost,direct,-16358.4,-16896.729,-538.3285156250004,538.3285156250004,0.03290838441565192,1,0.2,True
2025-07-07,8,2025-08-25,057,TRP,xgboost,direct,-294172.74,-48651.48,245521.25953125,245521.25953125,0.8346159454858054,1,0.225,False
2025-07-07,1,2025-07-07,057,TRR,xgboost,direct,1256118.49,1.255991e+06,-127.48999999999069,127.48999999999069,0.00010149520209673109,1,0.05,True
2025-07-07,2,2025-07-14,057,TRR,xgboost,direct,525376.52,1.1528861e+06,627509.605,627509.605,1.1943997896974916,1,0.075,False
2025-07-07,3,2025-07-21,057,TRR,xgboost,direct,1081631.66,1.1529971e+06,71365.46500000008,71365.46500000008,0.0659794527464184,1,0.1,True
2025-07-07,4,2025-07-28,057,TRR,xgboost,direct,1305922.62,1.2820828e+06,-23839.87000000011,23839.87000000011,0.01825519340495083,1,0.125,True
2025-07-07,5,2025-08-04,057,TRR,xgboost,direct,1068175.89,1.1534559e+06,85279.9850000001,85279.9850000001,0.0798370247806287,1,0.15,True
2025-07-07,6,2025-08-11,057,TRR,xgboost,direct,799311.65,1.1446086e+06,345296.975,345296.975,0.4319929216595304,1,0.175,False
2025-07-07,7,2025-08-18,057,TRR,xgboost,direct,835345.44,1.1526115e+06,317266.06000000006,317266.06000000006,0.37980222888389753,1,0.2,False
2025-07-07,8,2025-08-25,057,TRR,xgboost,direct,876257.24,1.1481674e+06,271910.135,271910.135,0.3103085744546887,1,0.225,False
2025-07-07,1,2025-07-07,11G5,TRP,xgboost,direct,-368277.79,-377840.88,-9563.085000000021,9563.085000000021,0.025967042432833164,1,0.05,True
2025-07-07,2,2025-07-14,11G5,TRP,xgboost,direct,-1455236.59,-1.0315265e+06,423710.0900000001,423710.0900000001,0.29116233945162145,1,0.075,False
2025-07-07,3,2025-07-21,11G5,TRP,xgboost,direct,-392.39,8246.3,8638.6898046875,8638.6898046875,22.015570745145137,0,0.1,False
2025-07-07,4,2025-07-28,11G5,TRP,xgboost,direct,-780717.73,-803747.7,-23029.95750000002,23029.95750000002,0.0294984430544443,1,0.125,True
2025-07-07,5,2025-08-04,11G5,TRP,xgboost,direct,-249813.23,-233199.56,16613.66750000001,16613.66750000001,0.06650435407284078,1,0.15,True
2025-07-07,6,2025-08-11,11G5,TRP,xgboost,direct,-1072409.36,-814701.75,257707.6100000001,257707.6100000001,0.24030712488372918,1,0.175,False
2025-07-07,7,2025-08-18,11G5,TRP,xgboost,direct,-243042.71,-197636.1,45406.61624999999,45406.61624999999,0.1868256663612745,1,0.2,True
2025-07-07,8,2025-08-25,11G5,TRP,xgboost,direct,-761442.45,-753814.8,7627.637499999953,7627.637499999953,0.010017352591781499,1,0.225,True
2025-07-07,1,2025-07-07,14C1,TRP,xgboost,direct,-8339292.34,-1.7794034e+07,-9454741.66,9454741.66,1.133758270428975,1,0.05,False
2025-07-07,2,2025-07-14,14C1,TRP,xgboost,direct,-42407842.31,-3.983942e+07,2568422.3100000024,2568422.3100000024,0.060564795804156114,1,0.075,True
2025-07-07,3,2025-07-21,14C1,TRP,xgboost,direct,-2690733.24,-1.0818297e+07,-8127563.76,8127563.76,3.0205758189540926,1,0.1,False
2025-07-07,4,2025-07-28,14C1,TRP,xgboost,direct,-48338563.98,-4.7589412e+07,749151.9799999967,749151.9799999967,0.015498018938046176,1,0.125,True
2025-07-07,5,2025-08-04,14C1,TRP,xgboost,direct,-37664037.02,-4.7351016e+07,-9686978.979999997,9686978.979999997,0.2571943887708083,1,0.15,False
2025-07-07,6,2025-08-11,14C1,TRP,xgboost,direct,-13133031.14,-2.4360508e+07,-11227476.86,11227476.86,0.8549036959033662,1,0.175,False
2025-07-07,7,2025-08-18,14C1,TRP,xgboost,direct,-5576706.74,-1.3226356e+07,-7649649.26,7649649.26,1.3717144574111135,1,0.2,False
2025-07-07,8,2025-08-25,14C1,TRP,xgboost,direct,-67711270.11,-4.689776e+07,20813510.11,20813510.11,0.3073862013840165,1,0.225,False
2025-07-07,1,2025-07-07,17C7,TRP,xgboost,direct,-1878908.69,-775421.94,1103486.7525,1103486.7525,0.5873019579785966,1,0.05,False
