test_week,horizon,horizon_date,entity_id,liquidity_group,model,strategy,actual,forecast_p90,error,abs_error,wape,directionality,target_wape,meets_target
2025-03-31,1,2025-03-31,057,TRP,lightgbm,recursive,-9602.79,-7698.656551077893,1904.133448922108,1904.133448922108,0.1982896063458753,1,0.05,False
2025-03-31,2,2025-04-07,057,TRP,lightgbm,recursive,-23734.24,-15837.310512343354,7896.929487656647,7896.929487656647,0.33272308224980646,1,0.075,False
2025-03-31,3,2025-04-14,057,TRP,lightgbm,recursive,-51863.28,-41207.12005202877,10656.159947971231,10656.159947971231,0.20546637135119938,1,0.1,False
2025-03-31,4,2025-04-21,057,TRP,lightgbm,recursive,-14223.26,-14455.395459773436,-232.1354597734353,232.1354597734353,0.01632083360449259,1,0.125,True
2025-03-31,5,2025-04-28,057,TRP,lightgbm,recursive,-208825.24,-103217.94171189771,105607.29828810228,105607.29828810228,0.5057209477556558,1,0.15,False
2025-03-31,7,2025-05-12,057,TRP,lightgbm,recursive,-175493.4,-103974.51667055674,71518.88332944326,71518.88332944326,0.40753033065313715,1,0.2,False
2025-03-31,8,2025-05-19,057,TRP,lightgbm,recursive,-6840.969999999999,-4629.071280186106,2211.898719813893,2211.898719813893,0.3233311533033902,1,0.225,False
2025-03-31,1,2025-03-31,057,TRR,lightgbm,recursive,1975397.5,1964705.003774418,-10692.49622558197,10692.49622558197,0.005412832721303925,1,0.05,True
2025-03-31,2,2025-04-07,057,TRR,lightgbm,recursive,1104176.95,1103234.9578681667,-941.9921318332199,941.9921318332199,0.0008531170043290797,1,0.075,True
2025-03-31,3,2025-04-14,057,TRR,lightgbm,recursive,936024.4,1076343.5795449675,140319.17954496748,140319.17954496748,0.1499097454563871,1,0.1,False
2025-03-31,4,2025-04-21,057,TRR,lightgbm,recursive,1206515.25,1180179.4319364633,-26335.81806353666,26335.81806353666,0.021828002641107652,1,0.125,True
2025-03-31,5,2025-04-28,057,TRR,lightgbm,recursive,1028057.25,1092494.965032189,64437.71503218892,64437.71503218892,0.062679111530208,1,0.15,True
2025-03-31,6,2025-05-05,057,TRR,lightgbm,recursive,1004180.59,1128496.645071265,124316.05507126509,124316.05507126509,0.12379850428224777,1,0.175,True
2025-03-31,7,2025-05-12,057,TRR,lightgbm,recursive,1307428.94,1303774.629240595,-3654.310759404907,3654.310759404907,0.002795035850594608,1,0.2,True
2025-03-31,8,2025-05-19,057,TRR,lightgbm,recursive,671858.35,1099636.1823031397,427777.83230313973,427777.83230313973,0.6367083661357186,1,0.225,False
2025-03-31,1,2025-03-31,11G5,TRP,lightgbm,recursive,-440288.12,-465173.11421985447,-24884.994219854474,24884.994219854474,0.05651979485581958,1,0.05,False
2025-03-31,2,2025-04-07,11G5,TRP,lightgbm,recursive,-1033432.93,-1029113.1163759368,4319.813624063274,4319.813624063274,0.0041800619069331125,1,0.075,True
2025-03-31,3,2025-04-14,11G5,TRP,lightgbm,recursive,-767425.53,-727828.4965457012,39597.03345429886,39597.03345429886,0.051597232443255904,1,0.1,True
2025-03-31,4,2025-04-21,11G5,TRP,lightgbm,recursive,-151334.34,-124563.60910425743,26770.73089574257,26770.73089574257,0.17689792611341598,1,0.125,False
2025-03-31,5,2025-04-28,11G5,TRP,lightgbm,recursive,-1653338.79,-1060102.6916639414,593236.0983360587,593236.0983360587,0.35881097203075885,1,0.15,False
2025-03-31,6,2025-05-05,11G5,TRP,lightgbm,recursive,-318108.14,-333610.0809135684,-15501.940913568367,15501.940913568367,0.048731670033870765,1,0.175,True
2025-03-31,7,2025-05-12,11G5,TRP,lightgbm,recursive,-1638505.81,-1059826.0157904194,578679.7942095806,578679.7942095806,0.35317530806288727,1,0.2,False
2025-03-31,8,2025-05-19,11G5,TRP,lightgbm,recursive,-133738.97,-127750.92788247766,5988.0421175223455,5988.0421175223455,0.04477410075404607,1,0.225,True
2025-03-31,1,2025-03-31,14C1,TRP,lightgbm,recursive,-30702408.61,-32627386.918018542,-1924978.3080185428,1924978.3080185428,0.06269795742968398,1,0.05,False
2025-03-31,2,2025-04-07,14C1,TRP,lightgbm,recursive,-33554794.56,-34316129.7788309,-761335.2188308984,761335.2188308984,0.02268931247573397,1,0.075,True
2025-03-31,3,2025-04-14,14C1,TRP,lightgbm,recursive,-10935167.67,-10746172.471485266,188995.19851473346,188995.19851473346,0.01728324651420123,1,0.1,True
2025-03-31,4,2025-04-21,14C1,TRP,lightgbm,recursive,-17099396.15,-17104973.684779454,-5577.534779455513,5577.534779455513,0.000326183142991018,1,0.125,True
2025-03-31,5,2025-04-28,14C1,TRP,lightgbm,recursive,-41806073.61,-33442859.848286655,8363213.761713345,8363213.761713345,0.20004781696870155,1,0.15,False
2025-03-31,6,2025-05-05,14C1,TRP,lightgbm,recursive,-21866517.86,-21623121.930661686,243395.92933831364,243395.92933831364,0.011130987151070502,1,0.175,True
2025-03-31,7,2025-05-12,14C1,TRP,lightgbm,recursive,-19378325.84,-18089895.007915277,1288430.8320847228,1288430.8320847228,0.06648824272658235,1,0.2,True
2025-03-31,8,2025-05-19,14C1,TRP,lightgbm,recursive,-18697911.57,-19134970.74600777,-437059.17600777,437059.17600777,0.023374758960193864,1,0.225,True
2025-03-31,1,2025-03-31,17C7,TRP,lightgbm,recursive,-14436.37,-7266.089854710117,7170.280145289884,7170.280145289884,0.49668165510373335,1,0.05,False
2025-03-31,2,2025-04-07,17C7,TRP,lightgbm,recursive,-825238.94,-846308.1473537858,-21069.207353785867,21069.207353785867,0.02553103874834829,1,0.075,True
2025-03-31,3,2025-04-14,17C7,TRP,lightgbm,recursive,-722192.26,-717512.1386514332,4680.121348566841,4680.121348566841,0.006480436869493508,1,0.1,True
2025-03-31,4,2025-04-21,17C7,TRP,lightgbm,recursive,-354323.16,-379495.59871109243,-25172.438711092458,25172.438711092458,0.0710437294335839,1,0.125,True
2025-03-31,5,2025-04-28,17C7,TRP,lightgbm,recursive,-3332545.89,-1004528.3630363543,2328017.5269636456,2328017.5269636456,0.6985702834428622,1,0.15,False
2025-03-31,6,2025-05-05,17C7,TRP,lightgbm,recursive,-63014.96000000001,-82688.70835915983,-19673.74835915983,19673.74835915983,0.31220758307487345,1,0.175,False
2025-03-31,7,2025-05-12,17C7,TRP,lightgbm,recursive,-2843071.12,-999940.5191309686,1843130.6008690316,1843130.6008690316,0.6482886016826169,1,0.2,False
2025-03-31,8,2025-05-19,17C7,TRP,lightgbm,recursive,-116072.41,-66767.68148608677,49304.72851391323,49304.72851391323,0.42477560786334345,1,0.225,False
2025-03-31,1,2025-03-31,4B9,TRP,lightgbm,recursive,-937763.86,-119202.43974353177,818561.4202564682,818561.4202564682,0.8728865071175469,1,0.05,False
2025-03-31,2,2025-04-07,4B9,TRP,lightgbm,recursive,-179980.71999999997,-118037.4028378231,61943.31716217687,61943.31716217687,0.3441664038357935,1,0.075,False
2025-03-31,3,2025-04-14,4B9,TRP,lightgbm,recursive,-46047.4,-41910.75510424052,4136.644895759484,4136.644895759484,0.08983449436362279,1,0.1,True
2025-03-31,4,2025-04-21,4B9,TRP,lightgbm,recursive,-9363.51,-10194.547993860682,-831.037993860682,831.037993860682,0.08875282814464683,1,0.125,True
2025-03-31,5,2025-04-28,4B9,TRP,lightgbm,recursive,-719980.41,-118874.53278739064,601105.8772126094,601105.8772126094,0.8348919899259611,1,0.15,False
2025-03-31,6,2025-05-05,4B9,TRP,lightgbm,recursive,-126388.68,-118370.7532519306,8017.926748069396,8017.926748069396,0.06343864615145436,1,0.175,True
2025-03-31,7,2025-05-12,4B9,TRP,lightgbm,recursive,-27582.65,-20711.781635067433,6870.8683649325685,6870.8683649325685,0.24910109670146155,1,0.2,False
2025-03-31,8,2025-05-19,4B9,TRP,lightgbm,recursive,-9606.74,-10327.188478103793,-720.4484781037936,720.4484781037936,0.07499406438644052,1,0.225,True
2025-03-31,1,2025-03-31,4B9,TRR,lightgbm,recursive,2901385.62,3187000.391233028,285614.7712330278,285614.7712330278,0.0984408171268967,1,0.05,False
2025-03-31,2,2025-04-07,4B9,TRR,lightgbm,recursive,1242474.63,1537556.700263046,295082.0702630461,295082.0702630461,0.23749544911274856,1,0.075,False
2025-03-31,3,2025-04-14,4B9,TRR,lightgbm,recursive,787753.09,899905.1403472958,112152.05034729582,112152.05034729582,0.14236954671583177,1,0.1,False
2025-03-31,4,2025-04-21,4B9,TRR,lightgbm,recursive,1142501.44,1120135.294282632,-22366.145717367996,22366.145717367996,0.01957647048337024,1,0.125,True
2025-03-31,5,2025-04-28,4B9,TRR,lightgbm,recursive,1533861.84,1713624.958177692,179763.11817769194,179763.11817769194,0.11719642114422243,1,0.15,True
2025-03-31,6,2025-05-05,4B9,TRR,lightgbm,recursive,2423185.02,2542907.8910433645,119722.87104336452,119722.87104336452,0.049407234715970846,1,0.175,True
2025-03-31,7,2025-05-12,4B9,TRR,lightgbm,recursive,1174589.64,1152389.5761742091,-22200.06382579077,22200.06382579077,0.018900272120389867,1,0.2,True
2025-03-31,8,2025-05-19,4B9,TRR,lightgbm,recursive,1088378.63,1067058.974148399,-21319.655851600925,21319.655851600925,0.0195884550320516,1,0.225,True
2025-03-31,1,2025-03-31,86W,TRR,lightgbm,recursive,31429492.41,28510418.29682737,-2919074.1131726317,2919074.1131726317,0.09287690921294875,1,0.05,False
2025-03-31,2,2025-04-07,86W,TRR,lightgbm,recursive,15911047.59,20221252.309754867,4310204.719754867,4310204.719754867,0.27089383620873625,1,0.075,False
2025-03-31,3,2025-04-14,86W,TRR,lightgbm,recursive,16508133.61,20120752.941727776,3612619.3317277767,3612619.3317277767,0.21883875046536996,1,0.1,False
2025-03-31,4,2025-04-21,86W,TRR,lightgbm,recursive,20491324.15,20358588.697056156,-132735.45294384286,132735.45294384286,0.006477641560506126,1,0.125,True
2025-03-31,5,2025-04-28,86W,TRR,lightgbm,recursive,33625343.53,32756520.17107131,-868823.3589286916,868823.3589286916,0.025838348927306604,1,0.15,True
2025-03-31,6,2025-05-05,86W,TRR,lightgbm,recursive,20361782.39,21389374.98668757,1027592.5966875702,1027592.5966875702,0.05046673110465209,1,0.175,True
2025-03-31,7,2025-05-12,86W,TRR,lightgbm,recursive,28203210.87,31334186.607203066,3130975.7372030653,3130975.7372030653,0.1110148681877038,1,0.2,True
2025-03-31,8,2025-05-19,86W,TRR,lightgbm,recursive,15446049.97,19842589.39743307,4396539.427433068,4396539.427433068,0.28463843092390745,1,0.225,False
2025-03-31,1,2025-03-31,97C,TRP,lightgbm,recursive,-1575928.79,-1514676.4922225662,61252.29777743388,61252.29777743388,0.03886742736480744,1,0.05,True
2025-03-31,2,2025-04-07,97C,TRP,lightgbm,recursive,-4364568.21,-4267989.175517936,96579.03448206373,96579.03448206373,0.02212797001563271,1,0.075,True
2025-03-31,3,2025-04-14,97C,TRP,lightgbm,recursive,-7741077.98,-6383039.067663055,1358038.9123369455,1358038.9123369455,0.1754327906068898,1,0.1,False
2025-03-31,4,2025-04-21,97C,TRP,lightgbm,recursive,-5623972.33,-5632422.565842089,-8450.235842089169,8450.235842089169,0.001502538658843147,1,0.125,True
2025-03-31,5,2025-04-28,97C,TRP,lightgbm,recursive,-5042051.1,-5175192.962282998,-133141.86228299793,133141.86228299793,0.026406289750414855,1,0.15,True
