Entity,Liq_Group,W1,W2,W3,W4,W5,W6,W7,W8,Avg_W1-W8
V798,TRR,9.6,9.6,9.9,10.7,11.0,10.5,10.8,11.7,10.5
4B9,TRR,10.3,8.1,9.6,9.1,8.8,8.1,8.2,10.5,9.1
97C,TRR,13.1,13.5,12.2,11.5,12.4,11.8,14.8,12.1,12.7
V265,TRR,14.7,15.5,15.1,15.0,16.2,16.6,18.1,17.6,16.1
V751,TRR,15.0,13.3,12.3,14.4,14.6,15.5,14.4,16.7,14.5
T056,TRP,15.1,16.1,17.1,16.4,14.5,14.7,15.0,15.7,15.6
T055,TRR,15.1,15.4,14.2,15.1,15.2,16.0,17.0,17.0,15.6
97R,TRR,16.0,16.7,16.7,17.5,19.0,17.6,17.7,19.6,17.6
V508,TRR,17.7,15.4,15.7,16.3,20.0,18.5,20.6,18.5,17.8
057,TRR,17.7,18.9,19.1,20.0,20.7,21.0,22.1,23.7,20.4
20B2,TRP,19.4,21.7,21.7,20.2,20.7,20.9,21.6,24.0,21.3
T055,TRP,20.1,21.2,21.8,21.6,21.2,18.1,17.0,16.2,19.6
14C1,TRP,20.5,23.0,22.6,22.8,23.9,22.8,24.9,24.6,23.1
V002,TRP,21.2,21.1,20.1,18.5,19.5,20.3,21.0,18.7,20.0
V756,TRR,21.3,18.5,22.7,20.7,24.9,18.7,18.6,16.8,20.3
97C,TRP,21.9,22.6,22.5,24.6,25.5,25.1,26.2,25.5,24.2
86W,TRR,22.1,23.6,21.0,22.1,25.6,26.4,28.8,29.1,24.8
V798,TRP,25.5,25.7,24.5,23.8,25.7,25.9,22.3,22.8,24.5
11G5,TRP,26.8,28.4,27.6,27.4,26.2,27.4,23.1,25.2,26.5
97R,TRP,28.6,29.3,29.2,30.8,28.0,27.8,28.5,30.1,29.0
V751,TRP,37.8,38.2,39.5,36.5,39.1,40.7,43.6,36.8,39.0
17C7,TRP,39.0,38.4,40.1,41.5,41.2,36.1,36.0,30.1,37.8
86W,TRP,44.8,48.3,49.6,48.2,47.1,51.0,53.2,54.5,49.6
V508,TRP,45.9,46.0,47.1,45.4,45.3,46.7,47.2,45.1,46.1
057,TRP,46.3,50.6,49.7,50.5,50.3,48.7,47.3,47.5,48.9
V265,TRP,46.8,45.7,46.8,46.1,46.6,46.6,47.1,45.5,46.4
V756,TRP,51.7,53.0,53.7,54.9,55.7,55.9,55.7,55.0,54.4
V002,TRR,54.0,44.5,37.6,48.4,45.6,54.0,63.3,40.8,48.5
4B9,TRP,58.6,54.3,55.6,57.0,57.5,51.4,53.5,53.4,55.2
11G5,TRR,80.7,82.8,82.9,93.4,84.3,77.3,69.3,84.9,81.9
17C7,TRR,100.8,104.4,110.1,110.5,108.9,107.8,165.3,126.6,116.8
14C1,TRR,125.9,144.4,255.2,258.8,162.1,225.3,302.4,252.6,215.8
20B2,TRR,137.2,121.9,121.9,122.9,107.3,73.4,73.4,73.4,103.9
T056,TRR,292.1,460.0,437.6,436.8,304.2,472.0,268.0,292.6,370.4
