feature,category
LP_Available_Count,lp
LP_Avg_Magnitude,lp
LP_Trend,trend
LP_Volatility,volatility
W1_Forecast,lp
W2_Forecast,lp
W3_Forecast,lp
W4_Forecast,lp
actual_minus_lp_w1,lp
actual_to_lp_ratio,lp
amount_abs_mean,other
amount_abs_sum,other
amount_max,other
amount_mean,other
amount_min,other
amount_std,volatility
amount_vs_4w_avg,other
amount_vs_52w_avg,other
amount_vs_8w_avg,other
avg_txn_size,other
cv_12w,volatility
cv_4w,volatility
cv_8w,volatility
deviation_from_4w_mean,other
deviation_from_8w_mean,other
dow_0_avg_amount_mean,seasonal
dow_1_avg_amount_mean,seasonal
dow_2_avg_amount_mean,seasonal
dow_3_avg_amount_mean,seasonal
dow_4_avg_amount_mean,seasonal
dow_5_avg_amount_mean,seasonal
dow_6_avg_amount_mean,seasonal
ewma_4w,other
ewma_8w,other
is_month_end_max,seasonal
is_month_start_max,seasonal
is_quarter_end_max,seasonal
is_quarter_start_max,seasonal
is_weekend_sum,other
is_year_end_max,other
is_year_start_max,other
lag1_x_lp_w1,lp
lag4_x_lp_w1,lp
lag_1,lag
lag_10,lag
lag_11,lag
lag_12,lag
lag_13,lag
lag_14,lag
lag_15,lag
lag_16,lag
lag_17,lag
lag_18,lag
lag_19,lag
lag_2,lag
lag_20,lag
lag_21,lag
lag_22,lag
lag_23,lag
lag_24,lag
lag_25,lag
lag_26,lag
lag_27,lag
lag_28,lag
lag_29,lag
lag_3,lag
lag_30,lag
lag_31,lag
lag_32,lag
lag_33,lag
lag_34,lag
lag_35,lag
lag_36,lag
lag_37,lag
lag_38,lag
lag_39,lag
lag_4,lag
lag_40,lag
lag_41,lag
lag_42,lag
lag_43,lag
lag_44,lag
lag_45,lag
lag_46,lag
lag_47,lag
lag_48,lag
lag_49,lag
lag_5,lag
lag_50,lag
lag_51,lag
lag_52,lag
lag_6,lag
lag_7,lag
lag_8,lag
lag_9,lag
lp_bias_4w,lp
lp_error_pct_lag1,lp
lp_error_rolling_4w,lp
lp_w1_vs_actual_lag1,lp
month,seasonal
quarter,seasonal
range_4w,other
range_8w,other
rolling_12w_max,rolling
rolling_12w_mean,rolling
rolling_12w_min,rolling
rolling_12w_std,rolling
rolling_12w_sum,rolling
rolling_14d_count_last,rolling
rolling_14d_mean_last,rolling
rolling_14d_std_last,rolling
rolling_14d_sum_last,rolling
rolling_30d_count_last,rolling
rolling_30d_mean_last,rolling
rolling_30d_std_last,rolling
rolling_30d_sum_last,rolling
rolling_4w_max,rolling
rolling_4w_mean,rolling
rolling_4w_mean_x_lp_w1,rolling
rolling_4w_min,rolling
rolling_4w_std,rolling
rolling_4w_sum,rolling
rolling_52w_max,rolling
rolling_52w_mean,rolling
rolling_52w_min,rolling
rolling_52w_std,rolling
rolling_52w_sum,rolling
rolling_7d_count_last,rolling
rolling_7d_mean_last,rolling
rolling_7d_std_last,rolling
rolling_7d_sum_last,rolling
rolling_8w_max,rolling
rolling_8w_mean,rolling
rolling_8w_mean_x_lp_w2,rolling
rolling_8w_min,rolling
rolling_8w_std,rolling
rolling_8w_sum,rolling
seasonal_index,seasonal
stability_4w,volatility
stability_8w,volatility
trend_12w,trend
trend_4w,trend
trend_4w_x_lp_trend,trend
trend_8w,trend
trend_direction_4w,trend
trend_direction_8w,trend
trend_divergence,trend
txn_count,other
volatility_actual_vs_lp,volatility
wow_change,other
wow_pct_change,other
year,other
