Entity,Value Date,Amount Functional Currency,Liquidity Group
4B9,2024-08-14,-1297.12,TRP
4B9,2024-08-14,-2008.6,TRP
4B9,2024-08-14,-1990.0,TRP
4B9,2024-08-14,-1870.0,TRP
4B9,2024-08-14,-6811.66,TRP
4B9,2024-08-14,-786.5,TRP
4B9,2024-08-12,26770.18,TRR
4B9,2024-08-14,11087.49,TRR
4B9,2024-08-14,31010.67,TRR
4B9,2024-08-14,48345.41,TRR
4B9,2024-08-14,83022.15,TRR
4B9,2024-08-15,7802.21,TRR
4B9,2024-08-15,88084.54,TRR
4B9,2024-08-21,-2444.2,TRP
4B9,2024-08-21,-161.42,TRP
4B9,2024-08-21,-3842.0,TRP
4B9,2024-08-21,-9632.0,TRP
4B9,2024-08-21,-1379.4,TRP
4B9,2024-08-16,8826.57,TRR
4B9,2024-08-16,42684.53,TRR
4B9,2024-08-19,188.76,TRR
4B9,2024-08-19,313.12,TRR
4B9,2024-08-19,14219.34,TRR
4B9,2024-08-19,16521.05,TRR
4B9,2024-08-19,44536.21,TRR
4B9,2024-08-21,2000.0,TRR
4B9,2024-08-21,109137.48,TRR
82J,2024-12-20,121785.1,TRR
4B9,2024-08-22,9204.86,TRR
4B9,2024-08-22,25439.39,TRR
4B9,2024-08-23,10000.0,TRR
82J,2024-12-24,181004.84,TRR
4B9,2024-08-28,-2141.7,TRP
4B9,2024-08-28,-14503.71,TRP
4B9,2024-08-28,-239.1,TRP
82J,2024-12-30,227260.74,TRR
4B9,2024-08-28,-3545.3,TRP
4B9,2024-08-28,-477.95,TRP
82J,2025-01-06,498442.46,TRR
4B9,2024-08-28,-3152.13,TRP
4B9,2024-08-28,-37621.2,TRP
4B9,2024-08-28,-810.7,TRP
4B9,2024-08-27,72897.96,TRR
4B9,2024-08-28,9228.09,TRR
82J,2025-01-16,852915.44,TRR
4B9,2024-08-29,48796.41,TRR
4B9,2024-08-29,49953.29,TRR
4B9,2024-08-30,68569.59,TRR
4B9,2024-08-30,113507.54,TRR
4B9,2024-08-30,453996.48,TRR
4B9,2024-09-02,15414.31,TRR
82J,2025-01-24,273520.82,TRR
4B9,2024-09-04,-11119.9,TRP
4B9,2024-09-04,-1173.34,TRP
4B9,2024-09-04,-48.86,TRP
82J,2025-01-27,1837358.78,TRR
4B9,2024-09-04,-63660.77,TRP
4B9,2024-09-04,-2891.9,TRP
4B9,2024-09-04,-12335.52,TRP
4B9,2024-09-04,-14505.0,TRP
4B9,2024-09-04,-5650.0,TRP
4B9,2024-09-04,-754.0,TRP
82J,2025-02-03,409883.21,TRR
4B9,2024-09-04,-689.7,TRP
4B9,2024-09-03,5526.29,TRR
4B9,2024-09-03,7910.0,TRR
4B9,2024-09-04,17478.84,TRR
4B9,2024-09-04,37462.02,TRR
4B9,2024-09-04,45914.62,TRR
4B9,2024-09-04,173389.86,TRR
4B9,2024-09-05,751.16,TRR
4B9,2024-09-05,5796.3,TRR
82J,2025-02-12,125889.16,TRR
4B9,2024-09-06,799.55,TRR
4B9,2024-09-06,6318.31,TRR
4B9,2024-09-06,6658.53,TRR
82J,2025-02-14,10263.39,TRR
4B9,2024-09-12,-2643.06,TRP
4B9,2024-09-12,-4356.0,TRP
4B9,2024-09-12,-1977.0,TRP
4B9,2024-09-12,-1926.62,TRP
82J,2025-02-27,87318.49,TRR
4B9,2024-09-12,-77604.56,TRP
4B9,2024-09-12,-1336.74,TRP
82J,2025-03-04,1209506.68,TRR
4B9,2024-09-12,-18018.11,TRP
4B9,2024-09-12,-762.3,TRP
82J,2025-03-10,15508.46,TRR
4B9,2024-09-12,-2767.64,TRP
4B9,2024-09-12,-1824.0,TRP
82J,2025-03-14,121856.86,TRR
82J,2025-03-20,8091.27,TRR
4B9,2024-09-12,-713.9,TRP
4B9,2024-09-12,-3127.49,TRP
82J,2025-03-24,39879.17,TRR
82J,2025-03-27,388961.43,TRR
4B9,2024-09-11,13853.0,TRR
4B9,2024-09-11,42941.25,TRR
4B9,2024-09-11,44531.4,TRR
82J,2025-03-31,65425.63,TRR
4B9,2024-09-13,3890.4,TRR
4B9,2024-09-13,61467.29,TRR
4B9,2024-09-18,-5082.0,TRP
4B9,2024-09-18,-260.75,TRP
4B9,2024-09-18,-758.97,TRP
4B9,2024-09-18,-1573.0,TRP
4B9,2024-09-18,-477.95,TRP
4B9,2024-09-18,-601.0,TRP
4B9,2024-09-18,-10119.75,TRP
4B9,2024-09-18,-508.2,TRP
4B9,2024-09-16,2183.56,TRR
4B9,2024-09-17,43737.07,TRR
4B9,2024-09-18,2690.02,TRR
4B9,2024-09-18,5759.73,TRR
4B9,2024-09-18,12027.38,TRR
82J,2025-04-17,420492.17,TRR
4B9,2024-09-18,126277.65,TRR
4B9,2024-09-19,5082.97,TRR
4B9,2024-09-23,9240.95,TRR
82J,2025-04-21,52436.55,TRR
4B9,2024-09-23,35225.36,TRR
4B9,2024-09-23,192261.9,TRR
4B9,2024-09-25,-5553.9,TRP
82J,2025-04-24,55014.16,TRR
4B9,2024-09-25,-4417.0,TRP
4B9,2024-09-25,-107.3,TRP
82J,2025-04-30,504.03,TRR
82J,2025-05-05,327785.28,TRR
4B9,2024-09-25,-1089.0,TRP
4B9,2024-09-25,-7865.25,TRP
4B9,2024-09-25,-589.85,TRP
4B9,2024-09-25,-5092.75,TRP
4B9,2024-09-25,-20011.0,TRP
4B9,2024-09-25,-508.2,TRP
82J,2025-05-12,80263.75,TRR
4B9,2024-09-24,7068.45,TRR
4B9,2024-09-24,7562.39,TRR
4B9,2024-09-25,5693.15,TRR
82J,2025-05-15,80619.59,TRR
4B9,2024-09-25,17597.28,TRR
4B9,2024-09-25,31414.45,TRR
4B9,2024-09-26,1369.95,TRR
4B9,2024-09-26,5453.16,TRR
4B9,2024-09-27,16565.36,TRR
